Rental Price,Address,No of Bed,No of Bathrooms,Area,Pets Allowed,No of Beds
"$5,500","7601 East Treasure Drive, North Bay Village, Miami-Dade County",2,1,628 Sq Ft,Yes,
"$1,850",456 Elm St,3,2,778 Sq Ft,No,
"$1,650",789 Oak St,1,1,"1,944 Sq Ft",Yes,
€719,"Maria Snelplantsoen 1, 1106 WN Amsterdam, Netherlands",,1.0,200 Sq M,,5
,"Michelangelostraat 54, 1077 Amsterdam, Netherlands",,,,,
"€2,290","1015 ND Amsterdam, Netherlands",,4.0,212 Sq M,,4
,"1055 LS Amsterdam, Netherlands",,,,,
"€4,124","H.J.E. Wenckebachweg 48, 1096 AN Amsterdam, Netherlands",,2.0,"1,184 Sq Ft",,1
,"1035 VR Amsterdam, Netherlands",,,,,
"€9,001","1059 North Holland, Netherlands",,1.0,20 Sq M,,Studio
,"Tweede Egelantiersdwarsstraat 14, 1015 SC Amsterdam, Netherlands",,,,,
"€2,366","Maarten Lutherweg 284, 1185 AX Amstelveen, Netherlands",,2.0,"1,291 Sq Ft",,1
,"1027 Amsterdam, Netherlands",,,,,
"€7,469","Jan van Zutphenstraat 251, 1069 RR Amsterdam, Netherlands",,2.0,117 Sq M,,2
,"1061 North Holland, Netherlands",,,,,
"€4,431","1012 North Holland, Netherlands",,1.0,113 Sq M,,2
,"1057 JH Amsterdam, Netherlands",,,,,
"€1,150","Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",,3.0,592 Sq Ft,,1
,"Rozenoord 143, 1181 MD Amstelveen, Netherlands",,,,,
€869,"Bijlmerdreef 743, 1103 TA Amsterdam, Netherlands",,1.0,646 Sq Ft,,4
,"Radisson Amsterdam South, Professor W.H. Keesomlaan, 1183 DJ Amstelveen, Netherlands",,,,,
"€5,880","1018 North Holland, Netherlands",,2.0,96 Sq M,,2
,"Maarten Lutherweg 218, 1185 AV Amstelveen, Netherlands",,,,,
€669,"1016 EP Amsterdam, Netherlands",,1.0,92 Sq M,,4
,"Leusdenhof 14, 1108 CP Amsterdam, Netherlands",,,,,
"€7,329",,,1.0,119 Sq M,,3
,,,,,,
"€3,233",,,1.0,22 Sq M,,1
,,,,,,
"€9,001",,,1.0,"1,184 Sq Ft",,2
,,,,,,
€623,,,1.0,8 Sq M,,3
,,,,,,
€768,,,1.0,"1,507 Sq Ft",,3
,,,,,,
€579,,,1.0,81 Sq M,,5
,,,,,,
"€1,995",,,1.0,,,Studio
,,,,,,
"€4,320",,,3.0,,,3
,,,,,,
€920,,,1.0,,,4
,,,,,,
"€15,104",,,,,,2
,,,,,,
€669,,,,,,3
,,,,,,
€775,"Sierplein 71, 1065 LN Amsterdam, Netherlands",,1.0,99 Sq M,,4
,"Voorburgstraat 252B, 1062 JB Amsterdam, Netherlands",,,,,
€815,"Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",,1.0,91 Sq M,,4
,"Bestevâerstraat 242-2, 1055 TT Amsterdam, Netherlands",,,,,
€797,"Wethouder Serrurierstraat 8, 1107 CD Amsterdam, Netherlands",,1.0,80 Sq M,,3
,"Westerdoksdijk 581, 1013 BX Amsterdam, Netherlands",,,,,
"€1,450","Htel, Mont Blanc, 1186 AP Amstelveen, Netherlands",,1.0,95 Sq M,,Studio
,"Voorburgstraat 252B, 1062 JB Amsterdam, Netherlands",,,,,
€695,"Eerste Van Swindenstraat 12-1, 1093 GC Amsterdam, Netherlands",,1.0,45 Sq M,,4
,"Maarten Lutherweg 284, 1185 AX Amstelveen, Netherlands",,,,,
"€4,200","Generator, Mauritskade 57, 1092 AD Amsterdam, Netherlands",,1.0,96 Sq M,,5
